OSDID,Offence Subdivision,ODID
0,A10 Homicide and related offences,0
1,A20 Assault and related offences,0
2,A30 Sexual offences,0
3,A40 Abduction and related offences,0
4,A50 Robbery,0
5,A60 Blackmail and extortion,0
6,"A70 Stalking, harassment and threatening behaviour",0
7,A80 Dangerous and negligent acts endangering people,0
8,B10 Arson,1
9,B20 Property damage,1
10,B30 Burglary/Break and enter,1
11,B40 Theft,1
12,B50 Deception,1
13,B60 Bribery,1
14,C10 Drug dealing and trafficking,2
15,C20 Cultivate or manufacture drugs,2
16,C30 Drug use and possession,2
17,C90 Other drug offences,2
18,D10 Weapons and explosives offences,3
19,D20 Disorderly and offensive conduct,3
20,D30 Public nuisance offences,3
21,D40 Public security offences,3
22,E10 Justice procedures,4
23,E20 Breaches of orders,4
24,F10 Regulatory driving offences,5
25,F20 Transport regulation offences,5
26,F30 Other government regulatory offences,5
27,F90 Miscellaneous offences,5
28,Other crimes against the person,0
